0.83,0.0,0.11,1.0,0.75,0.69,1.0,1.0,1.0,0.8,1.0,0.67,0.4,0.75,0.75,0.67,0.67,1.0,1.0,0.75,1.0,1.0,0.8,0.6
0.17,0.0,0.11,1.0,0.75,0.46,0.6,0.5,1.0,0.8,0.6,0.67,0.6,0.75,1.0,1.0,0.67,0.67,0.8,0.5,0.6,0.4,0.6,0.2
0.42,0.67,0.44,1.0,0.75,0.46,0.6,0.5,0.67,0.8,0.6,0.67,0.2,1.0,0.75,1.0,0.67,0.33,0.8,0.75,0.8,0.6,0.4,0.8
0.17,0.33,0.56,1.0,0.75,0.08,0.4,0.12,1.0,0.4,0.2,0.33,0.6,0.25,0.25,0.33,0.33,0.33,0.2,0.25,0.4,0.8,0.8,0.8
0.17,0.67,0.44,1.0,1.0,0.46,0.8,0.25,1.0,1.0,0.8,0.67,0.4,1.0,0.75,1.0,0.67,0.67,0.4,0.25,0.4,0.6,0.6,0.6
0.17,0.67,0.89,1.0,0.75,0.08,0.4,0.12,1.0,0.4,0.2,0.33,0.8,0.25,0.25,0.33,0.67,0.67,0.2,0.25,0.2,0.8,1.0,0.4
0.42,0.0,0.11,1.0,0.75,0.38,0.4,0.62,0.33,0.4,0.2,0.33,0.4,0.25,0.5,0.33,0.33,0.33,0.8,0.75,0.8,1.0,0.6,0.8
0.42,0.67,0.44,1.0,0.25,0.54,0.4,1.0,1.0,0.8,0.8,0.67,0.8,0.75,0.25,0.67,0.67,0.67,0.2,0.75,0.8,0.8,0.8,1.0
0.25,1.0,0.89,1.0,0.75,0.38,0.6,0.75,1.0,0.6,0.8,0.5,0.4,0.75,0.75,1.0,0.67,0.67,0.6,0.75,1.0,1.0,0.6,0.4
0.17,1.0,0.11,1.0,1.0,0.38,0.8,0.25,0.67,0.6,0.8,0.67,0.4,1.0,0.75,1.0,1.0,1.0,0.6,0.75,0.6,0.6,0.6,0.6
0.75,0.0,0.11,1.0,0.75,0.23,0.6,0.12,1.0,0.8,1.0,0.67,1.0,0.5,0.75,1.0,0.67,1.0,1.0,0.75,0.6,0.6,1.0,1.0
1.0,0.67,0.44,1.0,1.0,0.85,1.0,1.0,0.67,0.6,0.8,0.83,0.4,1.0,0.5,0.33,0.33,0.33,0.8,1.0,0.6,0.6,0.4,1.0
0.58,0.0,0.11,1.0,1.0,0.85,0.8,1.0,0.67,0.8,1.0,0.67,0.8,1.0,0.75,1.0,1.0,1.0,0.8,0.75,0.8,0.8,0.6,0.4
0.17,0.83,0.89,1.0,0.75,0.85,0.8,0.88,1.0,0.6,0.6,0.83,0.4,0.75,0.5,1.0,0.67,0.67,0.4,0.75,0.4,0.6,0.4,0.2
0.58,1.0,0.44,1.0,1.0,0.46,0.8,0.62,0.67,0.6,1.0,0.83,0.6,1.0,1.0,1.0,1.0,1.0,0.6,0.75,1.0,0.8,0.6,0.4
0.42,0.5,0.22,1.0,0.75,0.46,0.4,0.38,1.0,0.8,1.0,0.5,0.6,0.75,0.75,0.67,1.0,0.67,0.8,0.75,0.6,0.4,0.8,0.8
0.17,0.0,0.11,1.0,0.75,0.92,0.8,1.0,0.67,1.0,0.8,0.83,0.8,1.0,1.0,1.0,1.0,0.33,0.2,0.75,1.0,0.8,0.4,0.8
0.33,0.0,0.11,1.0,0.75,0.85,0.2,1.0,0.33,0.4,0.8,0.5,0.4,0.25,0.5,0.67,1.0,1.0,0.8,0.75,0.8,0.8,0.8,0.8
1.0,1.0,0.44,1.0,1.0,0.85,0.8,1.0,1.0,0.6,1.0,0.33,0.4,1.0,0.5,0.33,0.67,0.67,0.6,0.75,0.8,0.8,0.8,0.8
0.17,0.0,0.11,1.0,0.75,0.77,0.4,1.0,1.0,0.6,1.0,0.5,0.8,0.75,1.0,0.33,0.67,0.67,1.0,0.25,0.2,1.0,0.8,1.0
0.17,0.33,0.89,1.0,0.5,0.15,0.6,0.12,0.67,0.4,0.4,0.67,0.2,0.5,0.25,0.33,0.67,0.33,0.6,0.25,0.6,0.2,0.6,1.0
0.17,0.33,0.56,1.0,0.75,0.15,0.8,0.12,0.67,0.4,0.4,0.33,0.8,0.25,0.25,0.67,0.33,0.33,0.8,0.75,1.0,0.8,0.8,0.4
