"","X1","X2","X3","X4","X5"
"1",NA,0.006,0.035,0.7,0.197
"2",0.936208850290993,NA,0.005,0.804,0.054
"3",0.248462127507763,0.312065999994676,NA,0.001,0.001
"4",-0.0638092349297412,-0.109059115894124,0.959355954736249,NA,0.001
"5",0.109303765484357,0.202781745695056,0.959524854340139,0.982852705688702,NA
