Consensus Tape Track #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,10,1,1,4,5,6,1,,1,3,4,4,1,1,2,5.5,4,4.5,2,3,4,6,5,3.5,2,3,1,3,2,2,3,3.5,3,5,5,3,3
2,2,1,1,1,1,1,1,,1,2,4,1,1,1,3,6,3,4,2,3,4,1,3,4,3,3,1,4,3,2,2,4,2,3,2,3,1
3,5,4,4,2,3,4,3,,5,5,4,3,4,3,2.5,6,3,4,3,2,4,1,3,4,1,4,4,3,3,2,1,3,3,4,3,2,4
4,2,2,5,1,1,1,5,,2,5,1,1,2,1,3,1,2,1,,3,2,1,1,2,3,1,2,1,1,1,1,1,1,2,4,4,3
5,2,4,4,1,1,1,5,,5,2,4,1,5,4,3.5,6,3.5,2,2,3,5,1,4,4,2,4,5,3,3,2,2,2,1,2,3,3,3
6,2,3,8,1,1,1,4.5,,4.5,2,1,1,3.5,5,3,1,2,1,,3,2,1,1,2,3,1,3.5,1,1,2,2,1,1,1,4,5,2
7,5,1,1,4,5,5,1,,1,3,1,3.5,1,1,3,5,2,5,1,1,2,2,1,2,2,1,1,2,1,1,1,4,3,4,5,3,4
8,5,4,4,2,4,5,3,,5,5,2,3,3.5,3,1,7,2,4.5,1,3,4,1,4,4,4,3,4,1,2,2,2,1,3,4,4,4,5
9,3,6,8,1,1,1,5,,5,2,2,1,5,6,2,5,3,6,2,3,3,1,4,3,2,3,4,3,3,2,2,2,2,3.5,4,3,2
10,2,6,1,1,1,1,5,,1,4,2,1,5,1,3.5,5,4,2,1,2,3,1,4,4,2,4,5,3,3,3,3,3,3,3,3,3,3
11,9,1,1,4,2,3,1,,1,5,2,3,1,1,3,3,3,1,2,3,4,5,5,4,5,2,1,3,3,2,3,3,2.5,2.5,2.5,5,5
12,12,4,4,4,2,3,3,,5,5,4,3,4,3,4,6.5,4,4.5,,2,3,6,4,5,2,4,5,2,1,1,1,3,3.5,3,2,2,5
13,7,1,1,4,5,6,1,,1,4,4,3,1,1,3.5,8.5,4,6,2,2,4,5,5,4,4,4,1,3,3,3,3,4,3,4,4,3,2
14,2,5,8,1,1,1,5,,4,2,4,1,5,6,2,11,3.5,7,2,3,3,1,3,5,2,3,4,2,3,2,2,2,3,2,3,2,1
15,7,4.5,4,4,3,5,5,,5,3,4,3,5,6,3.5,6,4,5,2,2,3,5,5,5,3,4,5,4,3,3,3,3,3,5,4,2.5,2
16,5,3,2,2,4,6,1,,1,3,2,3,3.5,1,3,6,2,3,2,3,4,1,5,3,3,3,4,3,2,3,2,4,3,3,2,3,4
17,2,1,1,1,1,1,1,,1,2,4,1,1,1,3,12,4,8,1,2,5,1,4,5,4,4,1,4,3,3,1,1,3,5,4,2,3.5
18,4,1,1,3,5,5,1,,1,1,1,3,1,1,3,11,1,8,2,1,2,1,4,3,2,1,1,2,2,3,3,3.5,3,4,4,4,4
19,8.5,6,4,4,5,6,3,,6,5,4,3,4,3,2.5,11,4,8,2,3,2.5,5,3,2,2,3,5,2,1,2,2,2,3,4,4,4,4
20,2,1,1,4,1,1,1,,1,5,4,1,1,1,3,10,2,8,2,2.5,3,2,5,3,4,3,1,4,1,2,2,3,1,1,3,4,5
21,2,2,6.5,1,1,1,5,,3,1,1,1,4,2,2,2,3,1,1,2,2,1,2,4,1,2,3,1,1,2,1,2,2,3,1,2,3
22,2,2,5,1,1,1,4,,3,1,1,1,2,2,3,2,3,1,2,2,2,1,2,2,4,1,2,1,2,1,1,4,3,5,4,4,2
23,4,1,1,4,5,4,1,,1,2,4,3,1,1,3,6,3,4,3,3,3,5,4,8.5,2,3,1,3,2,1,3,3.5,3,5,4,3,3
24,12,1,1,4,5,6,1,,1,3,4,3.5,1,1,3,11,3,8,3,2,3,5,5,5,2,4,1,4,3,3,3,3,3,5,4,2,2
25,2,4,4,1,1,1,3,,5,5,4,2.5,4.5,4,4,11,2,6,1,2,2,1,3,5,2,3,4,2,3,2,2,3,2,1,1,3.5,4
26,5,4,4,2,4,5,3,,5,3,3,3,4,4,1,8,3,7,2,2,4,1,4,3,3,3,3,2,1,3,3,3,3,5,4,3.5,4
27,12,1,1,4,2,4,1,,1,5,4,5.5,1,1,3,13,4.5,8,2,3,4,6,5,4,2,4,1,3,1,3,2,3,4,4,2.5,2.5,5
28,11,6,8,4,4,5,5,,5,4,3,3.5,6,7,4,12,3.5,7,2,1,3,2,5,3,1,4,4,4,3,3,3,2.5,3,3,3.5,2,3
29,11,6,8,4,4,5,5,,6,4,4,6,5,7,3,11,4,8,3,2,3,4,5,5,1,4,5,2,1,3,3,2.5,3,4,3.5,2,4
30,11,6,4,3,4,6,5,,6,2,2,3,5,6,3,3,3,1,2,3,3,3,5,6,1,3,5,4,3,3,3,3,3,4,3,1,2
