track,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
19,1.0,1.0,0.44,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.67,0.43,0.67,0.43,1.0,0.85,0.8,1.0,0.67,1.0,0.6,1.0,1.0,0.33,0.4,1.0,1.0,0.5,0.33,0.67,0.67,0.6,0.75,0.8,0.8,0.8,0.8
20,0.17,0.0,0.11,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.67,0.0,0.0,0.0,0.75,0.77,0.4,1.0,0.67,1.0,0.6,0.33,1.0,0.5,0.8,0.75,0.0,1.0,0.33,0.67,0.67,1.0,0.25,0.2,1.0,0.8,1.0
21,0.17,0.33,0.89,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.29,0.5,0.15,0.6,0.12,0.33,0.67,0.4,0.0,0.4,0.67,0.2,0.5,0.6,0.25,0.33,0.67,0.33,0.6,0.25,0.6,0.2,0.6,1.0
22,0.17,0.33,0.56,0.0,0.0,0.0,0.8,1.0,0.5,0.0,0.0,0.0,0.33,0.29,0.75,0.15,0.8,0.12,0.67,0.67,0.4,0.0,0.4,0.33,0.8,0.25,0.4,0.25,0.67,0.33,0.33,0.8,0.75,1.0,0.8,0.8,0.4
23,0.33,0.0,0.11,1.0,1.0,0.67,0.0,1.0,0.0,0.4,0.67,0.43,0.0,0.0,0.75,0.46,0.6,0.5,1.0,1.0,0.6,0.83,0.8,1.83,0.4,0.75,0.0,0.75,0.67,0.33,1.0,1.0,0.75,1.0,0.8,0.8,0.6
24,1.0,0.0,0.11,1.0,1.0,1.0,0.0,1.0,0.0,0.6,0.67,0.57,0.0,0.0,0.75,0.85,0.6,1.0,1.0,0.67,0.6,0.83,1.0,0.83,0.4,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.75,1.0,0.8,0.4,0.4
25,0.17,0.67,0.44,0.0,0.0,0.0,0.6,1.0,0.83,1.0,0.67,0.57,0.83,0.57,1.0,0.85,0.4,0.88,0.33,0.67,0.4,0.0,0.6,0.83,0.4,0.75,0.8,0.5,1.0,0.67,0.67,0.6,0.5,0.2,0.2,0.8,0.8
26,0.42,0.67,0.44,0.5,0.8,0.83,0.6,1.0,0.83,0.6,0.67,0.43,0.67,0.57,0.25,0.62,0.6,0.88,0.67,0.67,0.8,0.0,0.8,0.67,0.6,0.75,0.6,0.5,0.33,1.0,1.0,0.8,0.75,1.0,0.8,0.8,0.8
27,1.0,0.0,0.11,1.0,0.4,0.67,0.0,1.0,0.0,1.0,0.67,0.86,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.4,1.0,0.0,0.75,0.33,1.0,0.67,0.8,1.0,0.8,0.8,0.6,1.0
28,0.92,1.0,0.89,1.0,0.8,0.83,1.0,1.0,0.83,0.8,0.83,0.57,1.0,1.0,1.0,0.92,0.8,0.88,0.67,0.33,0.6,0.33,1.0,0.5,0.2,1.0,0.8,1.0,1.0,1.0,1.0,0.6,0.75,0.6,0.8,0.4,0.6
29,0.92,1.0,0.89,1.0,0.8,0.83,1.0,1.0,1.0,0.8,0.67,0.86,0.83,1.0,0.75,0.85,0.8,1.0,1.0,0.67,0.6,0.67,1.0,0.83,0.2,1.0,1.0,0.5,0.33,1.0,1.0,0.6,0.75,0.8,0.8,0.4,0.8
30,0.92,1.0,0.44,1.0,0.8,1.0,1.0,1.0,1.0,0.4,0.33,0.43,0.83,0.86,0.75,0.23,0.8,0.12,0.67,1.0,0.6,0.67,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.75,0.8,0.8,0.2,0.4
